!GoldSim Version: 15.0.0257
!Model File: C:\Users\Pablo Sanhueza\Desktop\01_projects\MLP\31-PAO_FA_2028\02_model\A3\C1.2.1_MBIO V17_CD2024_Est_RU+V5+PA65+EVU+AC_E0_Calib_Esc2.1.1_Recirculacion_2025_PAO_FA_2028_volini.gsm
!Simulation Time: 29/07/2025 11:16
!Export Time: 29/07/2025 11:24
!Result Name: Resultados_anual
!Result Path: \Resultados_y_Dashboard\Resultados_2025
!Result Description: (none)
!Reporting Period: Anual
!Time Points: 36
!Realizations: 5
!Weights:	1	1	1	1	1

!Result: PPlant_from_RajoPel_med_sim
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2023"	24.25029	24.25029	24.25029	24.25029	24.25029	
"2024"	23.78078	23.78078	23.78078	23.78078	23.78078	
"2025"	51.68766	51.68766	51.68766	51.68766	51.68766	
"2026"	43.83671	43.83671	43.83671	43.83671	43.83671	
"2027"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2028"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2029"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2030"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2031"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2032"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2033"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2034"	16.00000	16.00000	16.00000	16.00000	16.00000	
"2035"	0.04383561	0.04383561	0.04383561	0.04383561	0.04383561	
"2036"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2037"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2038"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2039"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2040"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2041"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2042"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2043"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2044"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2045"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2046"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2047"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2048"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2049"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2050"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2051"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2052"	0.000000	0.000000	0.000000	0.000000	0.000000	

!Result: Extraccion_Choapa_Sel
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2017"	162.9556	162.9556	162.9556	162.9556	162.9556	
"2018"	347.8682	347.8682	347.8682	347.8682	347.8682	
"2019"	328.5989	328.5989	328.5989	328.5989	328.5989	
"2020"	361.1925	361.1925	361.1925	361.1925	361.1925	
"2021"	386.0813	386.0813	386.0813	386.0813	386.0813	
"2022"	369.7023	369.7023	369.7023	369.7023	369.7023	
"2023"	327.4969	327.4969	327.4969	327.4969	327.4969	
"2024"	303.8724	303.8724	303.8724	303.8724	303.8724	
"2025"	263.4593	263.4593	263.4593	263.4593	263.4593	
"2026"	284.2192	284.2192	284.2192	284.2192	284.2192	
"2027"	141.3288	141.3288	141.3288	141.3288	141.3288	
"2028"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2029"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2030"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2031"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2032"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2033"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2034"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2035"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2036"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2037"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2038"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2039"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2040"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2041"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2042"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2043"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2044"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2045"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2046"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2047"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2048"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2049"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2050"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2051"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2052"	0.000000	0.000000	0.000000	0.000000	0.000000	

!Result: PPlant_from_Chacay_inflow_B
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2017"	8.352739	8.352739	8.352739	8.352739	8.352739	
"2018"	6.161671	6.161671	6.161671	6.161671	6.161671	
"2019"	6.267764	6.267764	6.267764	6.267764	6.267764	
"2020"	6.527450	6.527450	6.527450	6.527450	6.527450	
"2021"	5.573884	5.573884	5.573884	5.573884	5.573884	
"2022"	5.145879	5.145879	5.145879	5.145879	5.145879	
"2023"	7.322054	7.322054	7.322054	7.322054	7.322054	
"2024"	5.237944	5.237944	5.237944	5.237944	5.237944	
"2025"	4.493303	4.493303	4.493303	4.493303	4.493303	
"2026"	4.301211	4.301211	4.301211	4.301211	4.301211	
"2027"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2028"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2029"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2030"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2031"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2032"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2033"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2034"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2035"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2036"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2037"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2038"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2039"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2040"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2041"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2042"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2043"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2044"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2045"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2046"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2047"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2048"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2049"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2050"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2051"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2052"	0.000000	0.000000	0.000000	0.000000	0.000000	

!Result: PPlant_from_Hualtatas_inflow_B
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2017"	2.892082	2.892082	2.892082	2.892082	2.892082	
"2018"	1.350000	1.350000	1.350000	1.350000	1.350000	
"2019"	2.317068	2.317068	2.317068	2.317068	2.317068	
"2020"	2.340000	2.340000	2.340000	2.340000	2.340000	
"2021"	0.4424612	0.4424612	0.4424612	0.4424612	0.4424612	
"2022"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2023"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2024"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2025"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2026"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2027"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2028"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2029"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2030"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2031"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2032"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2033"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2034"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2035"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2036"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2037"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2038"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2039"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2040"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2041"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2042"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2043"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2044"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2045"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2046"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2047"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2048"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2049"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2050"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2051"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2052"	0.000000	0.000000	0.000000	0.000000	0.000000	

!Result: Extraccion_Pozos_P7_P8_Sel
!Unit: l/s
(Periods)	#1	#2	#3	#4	#5
"2017"	27.69836	27.69836	27.69836	27.69836	27.69836	
"2018"	79.26548	79.26548	79.26548	79.26548	79.26548	
"2019"	83.01426	83.01426	83.01426	83.01426	83.01426	
"2020"	73.93055	73.93055	73.93055	73.93055	73.93055	
"2021"	87.81464	87.81464	87.81464	87.81464	87.81464	
"2022"	71.80340	71.80340	71.80340	71.80340	71.80340	
"2023"	91.59503	91.59503	91.59503	91.59503	91.59503	
"2024"	90.68171	90.68171	90.68171	90.68171	90.68171	
"2025"	93.59251	93.59251	93.59251	93.59251	93.59251	
"2026"	92.74521	92.74521	92.74521	92.74521	92.74521	
"2027"	46.11781	46.11781	46.11781	46.11781	46.11781	
"2028"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2029"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2030"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2031"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2032"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2033"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2034"	0.000000	0.000000	0.000000	0.000000	0.000000	
"2035"	0.000000	0.000000	0.000000	0.000000	0.000000	
